Time,HR,RR,participant_id,condition,Task Name,Metric 1,Metric 2,Metric 3,Metric 4,Metric 5,Metric 6,Metric 7
14:32:33.4,-1,-1,2,1,None,-1,-1,-1,-1,-1,-1,-1
14:32:33.54,-1,-1,2,1,start,start,-1,-1,-1,-1,-1,-1
14:32:33.104,-1,-1,2,1,start,start,-1,-1,-1,-1,-1,-1
14:32:33.154,-1,-1,2,1,start,start,-1,-1,-1,-1,-1,-1
14:32:33.204,-1,-1,2,1,start,start,-1,-1,-1,-1,-1,-1
14:32:33.254,-1,-1,2,1,start,start,-1,-1,-1,-1,-1,-1
14:32:33.304,-1,-1,2,1,start,start,-1,-1,-1,-1,-1,-1
14:32:33.354,-1,-1,2,1,start,start,-1,-1,-1,-1,-1,-1
14:32:33.404,-1,-1,2,1,start,start,-1,-1,-1,-1,-1,-1
14:32:33.454,-1,-1,2,1,start,start,-1,-1,-1,-1,-1,-1
14:32:33.504,-1,-1,2,1,start,start,-1,-1,-1,-1,-1,-1
14:32:33.554,-1,-1,2,1,start,start,-1,-1,-1,-1,-1,-1
14:32:33.604,-1,-1,2,1,start,start,-1,-1,-1,-1,-1,-1
14:32:33.654,-1,-1,2,1,start,start,-1,-1,-1,-1,-1,-1
14:32:33.704,-1,-1,2,1,start,start,-1,-1,-1,-1,-1,-1
14:32:33.754,-1,-1,2,1,start,start,-1,-1,-1,-1,-1,-1
14:32:33.804,-1,-1,2,1,start,start,-1,-1,-1,-1,-1,-1
14:32:33.854,-1,-1,2,1,start,start,-1,-1,-1,-1,-1,-1
14:32:33.904,-1,-1,2,1,start,start,-1,-1,-1,-1,-1,-1
14:32:33.955,-1,-1,2,1,start,start,-1,-1,-1,-1,-1,-1
14:32:34.4,-1,-1,2,1,start,start,-1,-1,-1,-1,-1,-1
14:32:34.54,85,16,2,1,start,start,-1,-1,-1,-1,-1,-1
14:32:34.104,85,16,2,1,start,start,-1,-1,-1,-1,-1,-1
14:32:34.154,85,16,2,1,start,start,-1,-1,-1,-1,-1,-1
14:32:34.204,85,16,2,1,start,start,-1,-1,-1,-1,-1,-1
14:32:34.254,85,16,2,1,start,start,-1,-1,-1,-1,-1,-1
14:32:34.304,85,16,2,1,start,start,-1,-1,-1,-1,-1,-1
14:32:34.354,85,16,2,1,start,start,-1,-1,-1,-1,-1,-1
14:32:34.404,85,16,2,1,start,start,-1,-1,-1,-1,-1,-1
14:32:34.454,85,16,2,1,start,start,-1,-1,-1,-1,-1,-1
14:32:34.504,85,16,2,1,start,start,-1,-1,-1,-1,-1,-1
14:32:34.554,85,16,2,1,start,start,-1,-1,-1,-1,-1,-1
14:32:34.604,85,16,2,1,start,start,-1,-1,-1,-1,-1,-1
14:32:34.654,85,16,2,1,start,start,-1,-1,-1,-1,-1,-1
14:32:34.704,85,16,2,1,start,start,-1,-1,-1,-1,-1,-1
14:32:34.754,85,16,2,1,start,start,-1,-1,-1,-1,-1,-1
14:32:34.804,85,16,2,1,start,start,-1,-1,-1,-1,-1,-1
14:32:34.854,85,16,2,1,start,start,-1,-1,-1,-1,-1,-1
